,fiture,step,number_of_cycles,model,R2,The Mean Square Weighted Deviation (MSWD)
0,cycle,10,18.5,linear_,0.9647240978356593,0.02479116139052683
1,cycle,10,18.5,quadratic_,0.9708933212635068,0.02045556104382348
2,cycle,10,18.5,qubic_,0.9752746585493255,0.017376449438029812
3,cycle,10,18.5,power_,0.5483860360626158,0.3173847861927949
4,peak_left_border(V),10,18.5,linear_,0.8934935382212998,0.07485049909676987
5,peak_left_border(V),10,18.5,quadratic_,0.8942809819755417,0.07429710020405192
6,peak_left_border(V),10,18.5,qubic_,0.894623258597237,0.07405655540014812
7,peak_left_border(V),10,18.5,power_,0.8729609528468265,0.0892803678329945
8,peak (V),10,18.5,linear_,0.9578011561345875,0.029656459071898962
9,peak (V),10,18.5,quadratic_,0.963603826617702,0.025578464417849875
10,peak (V),10,18.5,qubic_,0.9779659768583123,0.015485047589806724
11,peak (V),10,18.5,power_,0.9157700619967478,0.05919502716683292
12,peak_right_border(V),10,18.5,linear_,0.7788302114966231,0.15543347115409947
13,peak_right_border(V),10,18.5,quadratic_,0.7853946240004351,0.1508201402445784
14,peak_right_border(V),10,18.5,qubic_,0.7929251018023777,0.1455278789817479
15,peak_right_border(V),10,18.5,power_,0.733083047126049,0.1875836151755417
16,capacity_under_peak,10,18.5,linear_,0.8407479132516003,0.11191901389126489
17,capacity_under_peak,10,18.5,quadratic_,0.8407531739075932,0.1119153168129837
18,capacity_under_peak,10,18.5,qubic_,0.8407733313768557,0.11190115056795373
19,capacity_under_peak,10,18.5,power_,0.8243777518499452,0.12342361868937113
20,prominance,10,18.5,linear_,0.664918412722426,0.23548828518947315
21,prominance,10,18.5,quadratic_,0.7428390321608971,0.18072731428220912
22,prominance,10,18.5,qubic_,0.7445193088137889,0.17954645122480212
23,prominance,10,18.5,power_,0.6765696750485002,0.22730002331644136
24,time_to_peak(s),10,18.5,linear_,0.7178855880936725,0.19826406943699004
25,time_to_peak(s),10,18.5,quadratic_,0.7179919627146858,0.19818931159280764
26,time_to_peak(s),10,18.5,qubic_,0.718250717966348,0.19800746384941842
27,time_to_peak(s),10,18.5,power_,0.7138954021005317,0.20106828814905378
28,const_current_time,10,18.5,linear_,0.9618506908150123,0.02681053135185811
29,const_current_time,10,18.5,quadratic_,0.9766605874114888,0.016402447811151202
30,const_current_time,10,18.5,qubic_,0.9769507965537838,0.016198494935612366
31,const_current_time,10,18.5,power_,0.97423268611295,0.01810872573005269
32,fixed_time_to_peak,10,18.5,linear_,0.5329643103999456,0.3282228503206109
33,fixed_time_to_peak,10,18.5,quadratic_,0.5336522645874449,0.32773937060088254
34,fixed_time_to_peak,10,18.5,qubic_,0.5457794880820239,0.3192166132388606
35,fixed_time_to_peak,10,18.5,power_,0.0,0.7027789473684212
